material,temperature_c,pressure_bar,ph,sulfur_ppm,flow_velocity_ms,service_years,corrosion_rate_mmpy
SS316,218.9,28.6,6.58,532,2.7,14,0.75
Carbon Steel,263.5,49.7,6.08,262,2.71,9,1.07
SS316,140.0,40.3,4.32,265,3.62,7,0.83
Inconel,221.7,39.0,5.08,664,1.75,12,0.91
SS316,154.3,35.8,4.9,605,2.44,4,0.84
Alloy Steel,267.0,53.3,5.3,326,4.31,3,1.15
SS316,152.5,45.6,5.48,332,3.4,8,0.71
Alloy Steel,234.6,29.2,4.86,625,2.05,8,1.22
SS316,246.5,53.5,6.03,278,1.82,3,0.67
Inconel,228.8,55.0,4.47,399,2.66,9,0.92
SS304,206.6,28.3,5.85,562,1.51,7,0.8
SS304,247.5,37.5,6.34,610,2.14,9,0.86
Alloy Steel,261.8,46.9,5.88,577,3.76,13,1.21
Alloy Steel,181.3,29.1,5.89,543,2.45,12,0.98
SS304,147.3,45.5,5.42,447,1.76,11,0.74
Inconel,191.5,26.7,4.49,409,2.3,5,0.81
Inconel,236.3,32.3,6.57,602,3.63,14,0.78
SS316,197.9,39.8,5.25,418,3.29,8,0.85
Alloy Steel,241.5,51.3,4.31,338,3.79,7,1.27
Inconel,248.4,48.2,5.56,685,1.88,5,0.85
Carbon Steel,150.7,36.5,5.16,209,2.81,5,0.96
SS316,187.9,47.2,4.78,485,3.21,11,0.95
SS316,232.8,41.5,6.49,505,3.14,8,0.76
SS304,249.6,48.4,5.39,338,2.41,3,0.86
Alloy Steel,239.4,53.1,5.77,384,1.68,12,1.0
Inconel,148.1,53.7,6.65,571,4.47,2,0.55
Inconel,230.2,41.8,6.22,222,3.68,7,0.61
SS316,159.7,43.7,6.23,446,1.94,5,0.57
Alloy Steel,213.8,52.2,4.63,485,3.93,4,1.22
Alloy Steel,187.2,46.7,5.6,136,3.57,10,0.9
Alloy Steel,160.6,25.2,5.84,368,1.9,2,0.79
SS304,182.3,47.8,5.12,669,4.39,6,1.03
Inconel,178.5,49.2,5.4,427,2.8,14,0.74
Alloy Steel,218.5,50.9,5.45,638,3.52,1,1.13
SS304,277.4,48.8,6.42,245,4.38,4,0.81
Carbon Steel,273.2,54.8,6.05,688,3.21,11,1.31
SS316,204.3,52.6,4.66,228,1.54,6,0.78
Inconel,166.6,48.8,6.56,666,4.38,5,0.66
Inconel,273.4,54.0,5.22,612,3.82,4,0.99
SS316,174.6,44.2,5.93,197,3.2,6,0.6
Carbon Steel,259.7,43.1,6.37,570,2.63,12,1.17
SS304,172.0,44.0,4.78,293,4.04,8,0.9
SS316,253.2,32.6,4.84,341,4.18,13,1.06
SS304,156.6,33.7,5.23,651,4.48,9,0.98
SS304,246.5,36.2,5.22,552,4.26,1,1.04
SS304,202.2,33.3,5.82,695,2.66,5,0.89
Carbon Steel,190.2,44.7,4.83,214,4.25,4,1.14
Carbon Steel,143.9,50.2,6.15,237,4.37,6,0.89
SS304,261.3,33.5,6.67,448,2.81,3,0.75
Alloy Steel,199.9,34.8,6.38,186,2.79,7,0.77
Inconel,272.5,51.8,5.29,568,2.93,2,0.91
Carbon Steel,168.7,42.7,4.68,298,4.07,12,1.21
Alloy Steel,229.0,35.9,4.97,627,2.88,8,1.23
Alloy Steel,255.7,26.4,6.09,564,2.56,4,1.05
Inconel,161.2,51.3,5.6,269,2.78,5,0.55
SS304,194.9,41.4,5.58,454,1.68,6,0.77
Alloy Steel,147.6,54.2,4.79,282,2.41,3,0.91
Alloy Steel,263.6,26.6,4.7,286,3.7,4,1.2
Alloy Steel,243.9,50.5,5.3,281,2.48,9,1.05
SS304,175.4,33.1,4.53,302,4.5,4,0.94
SS304,277.9,47.6,5.22,454,3.48,11,1.09
Carbon Steel,198.0,47.6,4.25,261,3.05,1,1.19
Carbon Steel,273.3,26.3,4.89,460,2.39,9,1.34
Alloy Steel,158.2,41.8,6.23,525,2.02,1,0.79
SS304,270.6,49.8,6.01,528,2.89,1,0.89
SS304,157.1,28.8,6.41,306,1.59,9,0.53
Inconel,167.3,35.4,5.07,687,4.07,1,0.85
Alloy Steel,241.8,41.9,6.66,397,2.64,4,0.87
Carbon Steel,250.1,47.0,5.2,115,4.02,8,1.17
Inconel,251.7,43.5,6.39,158,3.18,13,0.62
SS304,254.4,41.4,6.71,131,3.01,11,0.66
Carbon Steel,207.5,28.6,6.7,528,4.36,11,1.08
Alloy Steel,263.1,49.3,5.96,475,2.45,6,1.05
SS304,234.2,48.9,4.85,474,3.22,7,1.03
Alloy Steel,266.9,25.4,5.95,131,3.15,14,0.99
Inconel,194.7,30.7,5.27,660,2.79,12,0.87
Inconel,196.6,27.1,6.24,271,2.8,3,0.51
Inconel,234.9,27.2,4.73,328,4.45,4,0.9
SS316,234.0,44.0,4.72,351,3.75,8,0.99
Alloy Steel,278.7,34.8,6.65,648,1.53,14,1.06
Inconel,212.6,30.4,6.72,167,2.71,5,0.43
Inconel,166.6,42.5,4.73,411,1.72,3,0.69
Alloy Steel,168.7,39.5,4.9,272,3.47,6,1.0
Inconel,160.2,42.9,4.65,655,1.71,9,0.84
Alloy Steel,152.9,43.0,5.82,489,2.3,2,0.85
SS304,238.5,36.2,5.67,370,3.52,6,0.88
Alloy Steel,183.8,33.1,5.75,619,4.34,10,1.11
Alloy Steel,202.9,43.4,4.75,663,1.52,8,1.17
SS316,222.3,46.0,5.97,344,1.55,4,0.65
SS304,271.1,41.3,6.64,232,3.68,14,0.79
SS316,166.4,45.2,6.74,161,1.52,6,0.37
Inconel,185.8,51.7,4.42,584,4.08,4,0.96
Alloy Steel,200.8,46.7,4.22,453,3.34,9,1.25
SS304,233.9,46.0,4.73,492,3.96,4,1.07
SS316,141.9,32.5,4.76,262,2.24,8,0.72
Alloy Steel,189.7,37.7,4.76,458,3.28,14,1.18
Carbon Steel,273.2,50.2,6.29,593,4.3,13,1.3
SS316,250.1,36.9,5.54,252,4.46,8,0.89
SS304,149.6,36.1,6.59,450,3.11,1,0.57
SS316,261.1,52.5,6.44,121,3.86,2,0.65
SS316,228.2,32.5,6.03,356,2.83,12,0.77
SS316,160.2,48.5,5.29,400,3.86,10,0.81
Inconel,143.1,34.0,5.51,133,2.97,4,0.48
Carbon Steel,169.4,33.4,6.05,106,2.73,6,0.82
SS304,162.3,29.8,4.38,211,3.49,7,0.87
SS304,240.9,49.8,5.36,583,1.52,12,0.97
SS304,175.0,40.5,5.59,314,2.56,4,0.7
Alloy Steel,262.2,49.8,4.76,585,3.86,14,1.39
SS304,189.6,40.2,6.65,625,1.81,9,0.7
SS304,150.9,49.9,5.11,412,3.88,7,0.85
Carbon Steel,257.3,50.8,6.15,363,3.33,13,1.15
Alloy Steel,204.3,37.3,6.08,330,2.97,13,0.93
Alloy Steel,163.1,25.1,6.07,539,3.04,6,0.91
SS316,215.8,35.4,5.28,539,4.14,10,0.99
Inconel,189.6,28.2,4.78,411,3.32,14,0.87
Alloy Steel,163.4,32.3,4.9,301,3.75,8,1.03
Alloy Steel,226.3,41.7,5.28,357,3.12,10,1.09
Carbon Steel,197.7,47.6,4.73,296,3.14,1,1.14
SS304,228.4,41.0,4.5,463,1.85,13,1.05
Alloy Steel,201.5,54.4,5.53,168,3.79,3,0.91
Alloy Steel,168.6,40.2,5.29,110,3.88,9,0.91
Inconel,234.3,37.2,6.5,233,3.64,9,0.59
Carbon Steel,242.4,45.9,6.16,379,4.12,9,1.13
Inconel,207.9,35.0,6.26,370,2.05,2,0.53
Alloy Steel,196.6,39.5,4.23,345,3.44,2,1.15
Alloy Steel,266.2,31.1,4.37,626,2.67,9,1.39
Carbon Steel,244.0,50.4,5.62,689,2.85,13,1.32
SS316,252.5,38.0,6.79,435,2.46,3,0.66
SS316,149.8,46.9,5.78,523,2.62,12,0.73
Alloy Steel,241.2,44.7,6.04,105,2.15,14,0.88
Alloy Steel,257.9,36.2,5.84,157,1.81,9,0.91
Inconel,221.3,37.8,5.62,412,2.55,10,0.74
Inconel,246.2,25.4,4.74,527,2.66,12,0.98
Inconel,167.3,51.7,6.15,644,3.78,3,0.67
SS304,200.6,48.2,6.42,424,3.77,12,0.78
Alloy Steel,206.3,46.5,4.9,221,2.44,8,1.01
SS304,224.0,50.8,6.46,534,3.74,1,0.78
SS316,221.9,29.0,5.35,370,4.38,1,0.86
Alloy Steel,178.1,45.8,4.89,663,3.41,1,1.15
Alloy Steel,214.0,49.8,5.4,267,3.46,7,1.01
Carbon Steel,177.0,44.9,6.32,566,3.78,6,1.04
Alloy Steel,250.1,48.2,6.14,190,2.15,5,0.86
SS316,176.3,26.0,6.49,246,3.17,8,0.55
Alloy Steel,260.1,48.5,5.32,220,3.04,13,1.1
SS304,201.1,45.0,4.45,548,3.94,13,1.14
Alloy Steel,149.4,27.8,6.8,295,3.74,13,0.75
SS304,260.1,54.9,4.83,124,2.73,1,0.87
Inconel,274.6,51.8,6.41,343,1.54,12,0.65
Inconel,231.6,32.0,4.24,558,3.37,4,1.02
Carbon Steel,145.5,50.1,5.81,438,3.37,5,0.98
Alloy Steel,196.3,36.7,4.38,482,3.7,2,1.2
Inconel,239.0,36.7,4.8,458,4.28,14,1.02
Inconel,192.0,43.6,5.85,381,2.83,2,0.6
Carbon Steel,230.9,49.1,6.06,455,1.66,11,1.07
Carbon Steel,256.6,35.9,6.45,166,4.28,12,1.05
Alloy Steel,210.1,45.7,6.01,489,2.33,3,0.93
SS304,244.7,49.3,5.28,222,1.63,2,0.78
Alloy Steel,233.5,50.1,4.64,111,3.84,7,1.11
SS304,164.0,38.6,5.38,511,4.23,12,0.92
Carbon Steel,208.4,37.1,4.6,443,2.33,4,1.22
SS316,151.0,47.2,4.45,456,3.61,13,0.96
Alloy Steel,199.3,27.5,5.78,628,4.15,14,1.16
SS316,223.5,40.0,6.74,510,2.63,7,0.68
SS304,180.1,49.1,6.79,118,4.19,7,0.54
Alloy Steel,226.7,53.2,6.22,176,2.54,5,0.81
SS316,276.5,49.5,6.42,662,1.76,11,0.88
SS316,250.5,37.5,4.64,384,1.67,8,0.95
Alloy Steel,154.1,30.0,4.58,683,3.78,8,1.22
SS316,156.0,25.3,4.6,224,3.39,13,0.83
Alloy Steel,172.6,28.9,4.87,313,3.52,4,1.02
SS316,169.5,49.3,4.58,305,4.09,8,0.89
Carbon Steel,151.6,39.5,4.99,438,3.91,5,1.14
Alloy Steel,207.0,48.4,4.99,287,1.51,12,1.01
Carbon Steel,208.3,27.5,5.39,283,3.97,10,1.15
Inconel,179.5,35.9,4.7,308,3.14,12,0.8
Carbon Steel,248.8,50.9,5.02,422,4.02,1,1.28
SS316,247.1,53.2,4.24,413,2.91,9,1.08
SS304,209.0,39.5,6.38,316,4.08,2,0.7
Carbon Steel,157.3,46.0,5.28,408,4.21,13,1.16
Carbon Steel,273.2,30.3,5.68,447,2.97,6,1.22
Carbon Steel,172.2,41.6,5.17,497,1.92,6,1.09
SS304,259.7,30.0,6.42,394,2.72,6,0.78
SS304,224.5,42.3,5.65,322,3.86,3,0.83
Carbon Steel,271.4,51.8,5.08,537,3.22,5,1.35
Inconel,164.5,45.2,4.77,230,4.12,7,0.74
SS304,222.5,47.6,5.82,460,1.66,4,0.77
SS304,245.0,29.6,5.39,310,1.78,10,0.86
SS304,173.2,53.5,6.66,465,4.27,11,0.72
Alloy Steel,222.6,25.2,6.21,521,3.35,6,1.0
Carbon Steel,200.2,42.9,6.8,561,2.69,14,1.01
Inconel,206.6,45.2,6.18,127,3.44,3,0.5
SS304,226.1,52.3,5.53,400,1.65,4,0.8
Alloy Steel,179.0,50.6,6.61,697,3.89,11,0.99
SS316,202.9,32.1,4.33,534,1.83,9,0.99
SS316,166.5,52.7,6.01,466,2.1,3,0.62
SS304,245.1,28.8,6.21,242,3.53,5,0.75
Inconel,256.9,52.8,5.15,290,3.75,3,0.83
Inconel,213.5,48.3,4.81,307,1.59,3,0.71
Carbon Steel,181.1,26.2,5.86,458,3.46,8,1.07
SS304,184.5,50.4,6.66,630,3.72,10,0.78
SS316,267.8,35.2,5.38,506,3.13,4,0.96
Carbon Steel,227.2,54.7,5.01,303,1.74,11,1.15
Inconel,258.9,27.7,6.78,424,4.45,8,0.71
Carbon Steel,192.2,52.9,4.36,155,1.99,12,1.14
SS316,178.2,35.2,5.37,647,2.07,8,0.85
Inconel,205.9,44.9,6.15,552,3.23,3,0.68
Alloy Steel,181.2,28.4,6.65,570,2.89,9,0.88
Alloy Steel,232.9,37.3,5.25,630,4.19,7,1.25
SS304,181.3,34.0,4.48,364,3.69,3,0.94
Carbon Steel,187.9,37.9,6.36,171,3.7,1,0.85
Inconel,156.4,45.5,6.67,182,3.7,9,0.41
SS304,163.0,28.5,5.62,641,2.53,7,0.83
Carbon Steel,232.2,52.9,6.33,439,3.47,3,1.05
SS316,197.5,41.8,6.65,149,2.26,5,0.46
Inconel,153.8,27.3,5.14,155,3.26,5,0.58
Carbon Steel,149.4,42.8,6.12,119,3.48,12,0.85
Inconel,171.2,51.2,6.25,548,3.18,13,0.66
Carbon Steel,254.6,54.5,4.88,681,2.79,2,1.37
SS316,147.0,26.6,6.0,374,2.18,1,0.54
Inconel,175.4,42.3,5.13,594,3.96,6,0.84
Alloy Steel,265.4,48.8,4.61,131,3.17,13,1.19
SS316,151.9,39.0,5.45,604,2.16,8,0.77
Carbon Steel,253.2,49.7,5.2,375,2.41,3,1.18
Inconel,142.3,45.4,4.4,352,3.31,5,0.76
SS316,183.7,32.5,5.9,471,2.5,9,0.73
Carbon Steel,240.1,27.1,5.29,169,3.34,11,1.15
Alloy Steel,146.2,45.8,5.89,238,3.54,10,0.82
Alloy Steel,256.7,49.4,5.79,324,2.27,1,0.96
Carbon Steel,202.2,47.5,5.58,422,2.33,14,1.12
Alloy Steel,165.4,29.7,6.35,125,2.76,12,0.72
SS316,212.6,46.3,4.45,290,4.41,9,1.0
Alloy Steel,183.8,50.1,4.33,378,2.64,13,1.16
SS304,228.2,37.1,6.16,418,3.53,13,0.86
Alloy Steel,195.8,38.3,6.52,494,1.52,8,0.82
SS304,258.3,37.9,5.19,649,2.25,2,1.02
Inconel,174.9,41.4,4.91,640,2.15,8,0.83
SS316,145.5,33.2,4.22,687,4.4,4,1.05
Inconel,172.7,31.3,6.43,592,2.82,1,0.56
Inconel,196.0,48.5,4.89,694,1.58,12,0.89
Alloy Steel,166.8,38.8,5.32,282,2.09,10,0.9
Alloy Steel,227.2,31.7,5.0,427,2.75,12,1.16
Alloy Steel,158.3,42.0,5.35,578,3.67,14,1.1
Inconel,195.0,28.0,4.24,497,3.31,2,0.92
SS316,150.8,32.0,6.36,668,2.41,1,0.63
SS316,172.4,51.1,6.61,351,1.65,11,0.52
SS304,198.8,25.3,6.43,538,4.34,9,0.82
Carbon Steel,250.2,34.2,4.3,453,2.69,7,1.38
SS316,140.9,26.9,5.59,439,3.75,7,0.72
Alloy Steel,217.0,26.5,5.31,599,3.92,13,1.23
SS304,184.5,32.8,4.43,153,2.08,6,0.81
Alloy Steel,187.2,51.1,4.42,226,3.76,13,1.14
Inconel,261.9,47.8,6.09,390,3.58,4,0.74
Inconel,162.6,42.2,6.29,556,1.96,4,0.53
Alloy Steel,242.7,35.4,5.26,175,2.01,6,0.97
SS316,144.9,36.8,6.01,216,3.42,13,0.6
Carbon Steel,188.3,35.1,5.01,173,1.83,6,1.0
Alloy Steel,173.7,45.2,6.35,503,3.97,2,0.88
SS316,146.3,44.7,5.59,149,1.6,12,0.55
SS304,151.4,54.8,4.61,693,4.43,14,1.12
Alloy Steel,189.3,47.9,5.52,482,4.46,2,1.05
SS304,200.8,38.4,5.81,499,3.0,14,0.88
SS316,143.3,37.9,4.93,177,1.8,7,0.63
SS316,142.3,49.6,4.3,633,4.48,1,1.0
SS316,231.3,48.4,6.26,461,3.03,3,0.74
SS316,157.6,54.4,5.95,608,2.47,10,0.74
Inconel,264.5,53.3,6.19,103,1.5,4,0.51
SS316,178.6,48.1,4.79,515,2.2,13,0.92
Inconel,232.6,44.6,4.85,490,2.14,9,0.88
Carbon Steel,258.9,26.3,6.11,304,2.94,2,1.04
Inconel,197.6,28.8,4.27,473,3.92,4,0.95
SS304,207.6,48.3,5.95,534,2.98,2,0.8
Carbon Steel,232.9,54.0,4.33,634,3.23,13,1.49
SS304,143.5,35.9,5.62,603,1.88,2,0.72
Alloy Steel,268.4,37.2,4.57,528,2.38,14,1.34
Alloy Steel,249.9,54.8,5.77,284,4.01,4,1.03
Inconel,272.4,33.9,4.2,263,2.15,4,0.92
SS304,185.6,28.8,5.35,125,3.55,1,0.7
Alloy Steel,233.1,41.7,5.09,180,1.78,9,0.99
Alloy Steel,204.5,40.0,5.03,636,3.43,11,1.23
Alloy Steel,181.8,51.7,4.24,293,3.16,14,1.17
Carbon Steel,141.8,41.2,6.41,674,3.2,9,1.0
Carbon Steel,217.4,49.4,5.2,499,4.47,11,1.31
SS316,173.6,27.8,5.02,157,2.03,6,0.67
SS304,202.2,41.0,6.47,697,3.25,1,0.79
Alloy Steel,184.8,39.3,5.03,393,4.08,8,1.1
SS304,184.1,29.0,5.84,176,3.24,12,0.7
SS316,220.2,32.7,6.29,355,4.48,11,0.78
Inconel,226.7,30.6,4.27,270,2.83,5,0.87
SS316,251.5,32.0,4.79,430,3.07,3,0.98
Alloy Steel,207.0,42.6,5.61,151,1.67,7,0.83
Inconel,276.6,39.2,4.37,128,2.39,11,0.9
Inconel,145.8,39.9,5.99,251,2.42,10,0.47
SS316,161.5,54.3,5.62,181,4.18,7,0.67
Alloy Steel,229.7,39.0,4.69,521,3.17,11,1.26
Inconel,271.8,40.9,6.1,654,4.43,13,0.96
SS316,238.3,34.9,5.96,337,3.77,14,0.85
SS316,183.0,36.1,5.63,574,2.45,11,0.82
Alloy Steel,275.7,36.3,4.36,303,3.02,14,1.32
SS316,148.6,40.0,4.48,168,4.32,13,0.85
SS316,156.1,51.5,5.28,332,3.48,6,0.73
SS316,230.8,26.8,6.32,664,3.45,2,0.83
SS304,167.7,30.4,4.88,415,1.83,11,0.85
Carbon Steel,187.3,28.8,5.22,197,3.7,11,1.09
SS304,237.7,31.4,4.31,318,1.8,8,1.0
SS316,188.4,49.1,5.6,147,3.2,14,0.7
Carbon Steel,160.8,30.2,6.48,435,4.11,4,0.93
Inconel,226.0,40.7,5.03,381,3.01,14,0.87
SS304,151.2,39.3,5.84,597,3.85,5,0.8
SS304,167.3,45.4,5.04,692,2.48,6,0.94
SS304,241.1,26.2,5.25,409,3.24,5,0.95
Alloy Steel,141.5,51.9,4.59,571,3.35,7,1.13
SS316,277.6,27.6,6.32,268,1.9,2,0.67
Inconel,230.2,36.4,4.34,459,4.21,12,1.05
Inconel,245.3,52.2,6.37,218,2.82,11,0.6
Inconel,222.3,35.6,6.28,432,3.98,6,0.69
SS316,205.3,38.4,4.24,248,4.1,7,0.98
Carbon Steel,224.7,31.6,5.83,442,2.05,5,1.06
SS304,224.6,47.9,5.56,236,3.5,7,0.82
SS316,201.9,29.9,4.68,221,2.66,6,0.82
SS304,193.9,50.6,6.68,630,2.31,10,0.73
SS316,160.3,40.2,4.36,142,3.22,13,0.83
SS304,279.2,31.1,4.87,168,4.25,7,1.03
SS316,146.2,30.6,5.61,487,1.64,11,0.68
Carbon Steel,222.5,38.6,5.37,662,4.45,12,1.37
Inconel,157.3,40.6,4.84,314,4.47,5,0.75
SS304,272.9,29.3,5.19,432,1.73,12,1.0
SS316,163.8,26.7,5.06,559,2.74,4,0.83
Carbon Steel,221.1,25.7,6.77,124,4.4,6,0.89
Carbon Steel,242.0,34.5,5.22,242,1.79,6,1.09
Inconel,226.5,31.2,5.73,167,2.5,12,0.64
SS316,150.2,33.4,5.11,569,4.48,5,0.89
SS304,236.2,53.8,6.1,393,3.39,11,0.85
Alloy Steel,277.0,30.4,6.28,300,3.69,12,1.05
Carbon Steel,242.4,36.2,5.56,140,2.04,5,1.0
Carbon Steel,236.9,29.2,5.28,429,2.71,7,1.2
Inconel,219.6,26.8,5.85,561,4.48,8,0.84
SS316,162.2,53.5,6.49,644,4.47,1,0.71
Alloy Steel,189.6,34.1,6.1,520,3.27,13,1.0
Alloy Steel,223.1,42.3,4.62,383,3.16,13,1.22
Alloy Steel,171.4,27.1,6.35,252,2.92,4,0.74
SS316,237.9,34.9,6.14,347,2.09,8,0.71
SS304,225.4,39.6,4.55,256,2.76,1,0.91
Carbon Steel,237.2,30.5,5.03,349,4.22,13,1.31
SS316,242.8,25.7,5.72,664,2.02,3,0.88
Alloy Steel,148.5,25.9,6.06,316,1.88,3,0.72
Carbon Steel,265.5,30.9,4.26,616,3.23,9,1.52
Carbon Steel,184.3,43.8,6.3,466,2.39,9,0.97
Alloy Steel,220.1,30.4,4.9,219,2.24,2,0.99
Alloy Steel,201.0,42.8,5.73,140,3.99,11,0.93
Carbon Steel,152.3,30.2,5.55,228,2.35,4,0.89
Inconel,190.5,43.1,5.21,618,2.43,10,0.83
Carbon Steel,270.6,25.6,4.6,631,2.88,4,1.44
SS304,253.1,51.6,6.32,111,3.71,13,0.75
SS304,180.2,51.4,4.33,238,4.19,5,0.94
Inconel,140.1,52.1,4.26,225,2.75,5,0.69
SS316,173.5,47.7,6.18,287,2.73,7,0.58
Carbon Steel,226.9,49.1,4.42,331,2.62,5,1.25
SS304,247.2,45.7,6.71,336,1.89,2,0.63
Carbon Steel,275.1,37.8,5.84,535,2.6,3,1.2
Inconel,199.8,44.4,6.14,239,2.72,3,0.51
Alloy Steel,213.3,52.6,6.31,595,3.89,12,1.06
Inconel,265.6,50.4,4.68,673,2.63,3,1.03
Inconel,250.3,52.1,4.9,587,1.75,4,0.9
Inconel,208.0,41.4,6.61,622,3.86,4,0.68
SS304,160.5,45.7,6.66,509,2.49,1,0.57
Inconel,233.7,31.9,4.83,283,1.69,11,0.79
Alloy Steel,260.6,29.1,6.68,297,3.49,14,0.96
Alloy Steel,272.1,51.1,4.95,569,3.91,13,1.37
Alloy Steel,238.7,47.3,5.96,251,4.12,6,0.98
SS316,183.0,50.8,6.69,230,1.76,7,0.46
Inconel,163.6,50.1,5.63,213,3.66,9,0.59
Alloy Steel,183.1,39.3,6.26,688,4.3,14,1.09
SS316,196.3,39.1,6.03,653,1.93,12,0.8
Inconel,241.6,28.4,5.26,631,1.64,6,0.86
Inconel,189.0,50.9,4.81,517,3.39,13,0.91
Carbon Steel,181.8,48.3,5.22,183,1.53,1,0.91
Inconel,171.0,26.7,4.86,416,2.01,2,0.69
Carbon Steel,201.7,51.4,5.51,404,1.92,8,1.06
SS304,195.5,39.2,5.37,621,3.09,4,0.92
SS304,199.1,48.6,4.71,592,3.45,1,1.01
SS316,159.2,33.3,4.32,658,3.48,14,1.08
Carbon Steel,223.4,54.9,5.33,652,2.54,9,1.27
SS304,219.9,39.4,6.44,163,3.16,6,0.63
SS304,258.1,47.3,4.64,172,1.7,2,0.88
SS304,241.2,32.0,6.03,284,2.23,11,0.77
Inconel,192.5,43.6,6.07,166,1.61,6,0.45
Carbon Steel,155.1,32.0,6.15,264,3.37,8,0.89
SS304,252.3,35.2,5.35,505,3.03,2,0.96
Carbon Steel,261.2,25.3,6.22,376,4.47,8,1.17
Alloy Steel,184.9,41.9,4.93,569,4.16,1,1.15
Alloy Steel,260.1,27.9,6.04,307,1.52,12,0.96
Inconel,273.6,28.7,4.25,642,1.71,8,1.09
Alloy Steel,183.1,32.2,4.81,140,2.06,9,0.94
SS316,180.8,37.5,5.18,625,4.22,13,1.0
Carbon Steel,243.2,41.1,6.38,303,3.63,10,1.05
SS304,181.7,34.6,4.63,569,1.87,8,0.96
SS316,179.7,34.8,4.25,556,1.63,5,0.94
SS316,216.2,27.3,6.68,248,4.08,12,0.66
Alloy Steel,201.6,39.5,4.75,169,4.01,11,1.09
Carbon Steel,142.0,49.1,6.75,463,3.01,2,0.81
SS304,192.8,36.8,5.62,195,3.57,10,0.76
SS316,167.2,38.4,6.36,492,2.73,1,0.59
Inconel,161.8,41.4,4.43,326,2.74,7,0.76
SS304,273.1,31.3,4.88,681,3.7,4,1.19
Alloy Steel,165.1,36.8,6.66,184,3.79,1,0.67
Carbon Steel,211.1,43.6,5.44,386,3.8,3,1.14
Inconel,166.9,29.4,6.64,650,4.16,2,0.61
SS304,269.4,49.6,5.66,502,4.28,10,1.05
SS304,160.8,42.9,6.32,329,1.9,10,0.58
SS316,275.5,44.7,5.67,659,3.26,14,1.07
SS304,255.4,31.1,5.42,580,2.04,4,0.96
Carbon Steel,212.4,37.4,4.72,347,1.72,10,1.18
Carbon Steel,184.3,26.7,5.79,244,2.66,13,0.99
SS304,216.4,31.2,5.61,238,4.05,9,0.84
SS316,174.4,49.4,5.09,166,3.21,14,0.77
Inconel,168.8,47.2,5.62,630,3.16,13,0.79
Inconel,262.7,46.9,4.98,459,2.1,14,0.94
SS316,246.4,35.2,6.68,542,3.29,11,0.8
Alloy Steel,147.6,34.4,5.5,229,4.12,10,0.91
Carbon Steel,268.7,37.7,5.09,676,2.83,5,1.39
Alloy Steel,166.6,52.5,5.64,279,2.79,8,0.87
SS316,187.9,38.0,6.41,317,3.88,5,0.63
Alloy Steel,224.2,35.2,5.62,124,3.73,1,0.9
SS316,147.2,37.1,5.95,370,3.75,12,0.69
Inconel,226.7,39.4,5.92,231,1.84,14,0.62
Inconel,180.9,47.5,5.45,229,4.4,13,0.72
Alloy Steel,195.4,43.4,6.29,279,4.39,1,0.85
Alloy Steel,239.0,32.6,5.36,174,2.12,4,0.94
Carbon Steel,147.5,25.7,5.13,300,2.66,12,1.04
Inconel,243.3,50.7,6.64,395,3.6,4,0.62
Carbon Steel,198.6,34.3,6.64,409,2.99,4,0.91
Alloy Steel,156.7,34.8,6.32,458,2.68,7,0.81
SS316,217.8,42.5,4.74,610,1.75,7,0.97
Inconel,258.7,30.5,5.32,199,3.62,5,0.77
SS316,156.7,29.2,4.94,410,3.74,9,0.85
Carbon Steel,218.4,50.7,5.93,361,4.36,14,1.16
Carbon Steel,237.5,30.8,4.44,419,3.96,1,1.34
SS304,157.0,34.1,5.58,438,3.3,13,0.81
Inconel,239.0,46.4,6.54,449,1.87,12,0.63
Inconel,246.7,42.8,4.7,500,3.37,12,1.01
Carbon Steel,208.6,40.9,5.07,411,2.09,4,1.13
SS316,176.0,48.2,5.2,404,4.07,2,0.81
Inconel,178.7,41.7,5.1,659,4.27,7,0.9
Carbon Steel,180.3,46.7,6.37,617,2.45,10,1.03
SS304,268.9,25.4,5.64,544,2.96,10,1.02
Alloy Steel,234.2,35.1,4.67,268,2.87,1,1.09
Inconel,200.1,27.2,4.48,602,2.22,11,0.95
Alloy Steel,175.7,49.8,5.18,688,2.9,7,1.13
SS316,145.1,26.6,6.37,170,1.64,8,0.41
SS304,272.1,32.5,4.46,335,3.35,3,1.08
Inconel,220.9,42.1,5.06,289,1.82,12,0.75
Alloy Steel,172.4,37.1,6.78,621,3.19,1,0.83
Alloy Steel,224.1,46.0,4.94,478,2.87,3,1.13
Carbon Steel,168.2,33.0,4.64,157,2.76,9,1.07
Alloy Steel,208.0,52.4,5.79,427,2.25,13,0.99
SS316,170.8,40.5,4.47,551,4.22,12,1.05
Alloy Steel,274.9,36.3,5.77,147,3.55,10,1.03
SS316,259.1,35.4,4.29,547,3.91,5,1.17
SS316,215.2,30.8,6.07,262,2.45,10,0.67
Carbon Steel,206.7,45.1,5.25,278,3.38,4,1.1
SS304,245.9,39.2,4.79,469,1.62,13,1.03
SS316,203.0,32.6,5.35,608,2.12,11,0.9
Alloy Steel,168.5,48.1,5.31,439,1.56,9,0.94
Alloy Steel,141.2,36.5,4.98,122,3.02,5,0.84
SS316,267.9,36.6,6.36,180,4.31,13,0.79
Alloy Steel,202.3,39.6,6.31,159,2.79,5,0.76
Inconel,186.5,46.0,6.19,657,2.11,9,0.67
